"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2019","5.219","5.388","5.437","5.172","26.44M","-2.85%"
"03/08/2019","5.136","5.165","5.190","5.093","18.74M","-1.59%"
"03/11/2019","5.201","5.172","5.225","5.130","12.87M","1.27%"
"03/12/2019","5.181","5.233","5.246","5.150","14.31M","-0.38%"
"03/13/2019","5.275","5.191","5.299","5.180","19.22M","1.81%"
"03/14/2019","5.282","5.275","5.342","5.264","14.89M","0.13%"
"03/15/2019","5.373","5.299","5.382","5.270","44.04M","1.72%"
"03/18/2019","5.421","5.397","5.472","5.390","14.84M","0.89%"
"03/19/2019","5.485","5.439","5.550","5.412","17.40M","1.18%"
"03/20/2019","5.419","5.470","5.490","5.418","15.97M","-1.20%"
"03/21/2019","5.372","5.388","5.408","5.341","16.57M","-0.87%"
"03/22/2019","5.188","5.406","5.411","5.163","25.64M","-3.43%"
"03/25/2019","5.200","5.163","5.264","5.119","17.72M","0.23%"
"03/26/2019","5.143","5.213","5.228","5.127","16.78M","-1.10%"
"03/27/2019","5.116","5.165","5.284","5.093","28.28M","-0.52%"
"03/28/2019","5.047","5.070","5.094","5.005","21.81M","-1.35%"
"03/29/2019","5.093","5.096","5.123","5.051","22.46M","0.91%"
"04/01/2019","5.306","5.197","5.337","5.156","31.48M","4.18%"
"04/02/2019","5.328","5.310","5.381","5.282","20.88M","0.41%"
"04/03/2019","5.413","5.407","5.446","5.386","20.60M","1.60%"
"04/04/2019","5.498","5.406","5.507","5.382","22.00M","1.57%"
"04/05/2019","5.495","5.501","5.535","5.481","22.15M","-0.05%"
"04/08/2019","5.333","5.340","5.372","5.308","13.31M","-2.95%"
"04/09/2019","5.346","5.319","5.415","5.316","14.64M","0.24%"
"04/10/2019","5.294","5.363","5.382","5.268","14.77M","-0.97%"
"04/11/2019","5.370","5.318","5.409","5.270","16.80M","1.44%"
"04/12/2019","5.512","5.368","5.522","5.325","25.89M","2.64%"
"04/15/2019","5.481","5.510","5.568","5.425","18.84M","-0.56%"
"04/16/2019","5.526","5.494","5.546","5.453","13.37M","0.82%"
"04/17/2019","5.599","5.546","5.679","5.525","21.25M","1.32%"
"04/18/2019","5.594","5.620","5.633","5.505","25.78M","-0.09%"
"04/23/2019","5.476","5.577","5.589","5.446","21.17M","-2.11%"
"04/24/2019","5.409","5.450","5.504","5.362","17.82M","-1.22%"
"04/25/2019","5.364","5.415","5.422","5.324","16.90M","-0.83%"
"04/26/2019","5.377","5.375","5.391","5.303","17.17M","0.24%"
"04/29/2019","5.415","5.396","5.434","5.354","13.33M","0.71%"
"04/30/2019","5.418","5.385","5.418","5.303","19.21M","0.06%"
"05/02/2019","5.349","5.410","5.469","5.342","17.10M","-1.27%"
"05/03/2019","5.336","5.374","5.407","5.286","12.55M","-0.24%"
"05/06/2019","5.279","5.230","5.298","5.206","15.01M","-1.07%"
"05/07/2019","5.144","5.256","5.265","5.141","23.50M","-2.56%"
"05/08/2019","5.200","5.155","5.200","5.105","18.16M","1.09%"
"05/09/2019","5.094","5.128","5.173","5.065","19.14M","-2.04%"
"05/10/2019","5.078","5.138","5.158","5.040","13.74M","-0.31%"
"05/13/2019","4.982","5.084","5.093","4.966","17.58M","-1.89%"
"05/14/2019","5.083","5.023","5.083","5.001","17.21M","2.03%"
"05/15/2019","5.091","5.064","5.117","5.008","17.46M","0.16%"
"05/16/2019","5.192","5.076","5.192","5.045","17.28M","1.98%"
"05/17/2019","5.152","5.150","5.179","5.090","22.67M","-0.77%"
"05/20/2019","5.074","5.130","5.207","5.053","19.55M","-1.51%"
"05/21/2019","5.117","5.108","5.148","5.071","13.68M","0.85%"
"05/22/2019","5.026","5.115","5.140","5.000","19.37M","-1.78%"
"05/23/2019","4.973","4.990","5.026","4.955","18.66M","-1.05%"
"05/24/2019","5.024","4.992","5.050","4.969","12.90M","1.03%"
"05/27/2019","5.036","5.083","5.097","5.011","6.30M","0.24%"
"05/28/2019","5.047","5.041","5.047","4.956","21.31M","0.22%"
"05/29/2019","4.997","4.996","5.028","4.948","17.14M","-0.99%"
"05/30/2019","5.075","5.049","5.093","5.033","11.76M","1.56%"
