"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2018","6.094","6.098","6.143","6.077","19.49M","-0.15%"
"05/04/2018","6.144","6.118","6.144","6.081","11.07M","0.82%"
"05/07/2018","6.144","6.160","6.167","6.126","11.29M","0.00%"
"05/08/2018","6.126","6.156","6.171","6.105","14.58M","-0.29%"
"05/09/2018","6.115","6.096","6.126","6.042","14.00M","-0.18%"
"05/10/2018","6.096","6.126","6.133","6.072","16.39M","-0.31%"
"05/11/2018","6.090","6.088","6.126","6.062","10.99M","-0.10%"
"05/14/2018","6.105","6.107","6.137","6.079","12.64M","0.25%"
"05/15/2018","6.130","6.101","6.137","6.075","11.75M","0.41%"
"05/16/2018","6.087","6.126","6.141","6.047","15.87M","-0.70%"
"05/17/2018","6.139","6.090","6.146","6.079","12.68M","0.85%"
"05/18/2018","6.176","6.146","6.180","6.122","26.79M","0.60%"
"05/21/2018","6.115","6.173","6.178","6.103","16.45M","-0.99%"
"05/22/2018","6.126","6.131","6.144","6.101","12.82M","0.18%"
"05/23/2018","6.066","6.081","6.083","6.017","18.14M","-0.98%"
"05/24/2018","6.038","6.057","6.117","6.038","18.22M","-0.46%"
"05/25/2018","5.896","6.072","6.111","5.808","30.86M","-2.35%"
"05/28/2018","5.845","5.928","5.987","5.834","11.19M","-0.86%"
"05/29/2018","5.761","5.798","5.810","5.683","26.41M","-1.44%"
"05/30/2018","5.774","5.750","5.804","5.707","35.50M","0.23%"
"05/31/2018","5.679","5.797","5.798","5.662","40.52M","-1.65%"
"06/01/2018","5.770","5.712","5.795","5.697","21.27M","1.60%"
"06/04/2018","5.942","5.881","5.982","5.838","19.99M","2.98%"
"06/05/2018","5.918","5.937","5.991","5.918","19.08M","-0.40%"
"06/06/2018","5.950","5.918","5.974","5.901","37.49M","0.54%"
"06/07/2018","5.997","5.969","6.023","5.963","13.12M","0.79%"
"06/08/2018","5.942","5.978","5.986","5.931","16.04M","-0.92%"
"06/11/2018","6.083","6.000","6.088","5.995","15.02M","2.37%"
"06/12/2018","5.906","5.901","5.939","5.863","11.55M","-2.91%"
"06/13/2018","5.885","5.885","5.923","5.854","24.91M","-0.37%"
"06/14/2018","6.026","5.854","6.026","5.843","34.33M","2.40%"
"06/15/2018","6.073","6.031","6.100","5.982","68.25M","0.78%"
"06/18/2018","5.942","6.062","6.064","5.923","18.86M","-2.15%"
"06/19/2018","5.941","5.885","5.950","5.830","20.61M","-0.03%"
"06/20/2018","5.957","5.977","6.027","5.921","18.30M","0.27%"
"06/21/2018","5.821","5.984","5.986","5.821","28.68M","-2.28%"
"06/22/2018","5.904","5.868","5.912","5.825","20.41M","1.43%"
"06/25/2018","5.845","5.863","5.904","5.836","11.80M","-1.01%"
"06/26/2018","5.926","5.883","5.988","5.870","27.11M","1.39%"
"06/27/2018","6.067","5.933","6.085","5.890","23.06M","2.38%"
"06/28/2018","6.022","6.029","6.062","5.966","27.59M","-0.75%"
"06/29/2018","5.993","6.073","6.078","5.993","24.30M","-0.48%"
"07/02/2018","5.991","5.937","6.013","5.881","39.22M","-0.03%"
"07/03/2018","6.116","6.008","6.134","5.989","19.50M","2.08%"
"07/04/2018","6.221","6.102","6.223","6.093","18.78M","1.72%"
"07/05/2018","6.275","6.225","6.312","6.198","24.17M","0.87%"
"07/06/2018","6.303","6.293","6.326","6.243","18.32M","0.43%"
"07/09/2018","6.256","6.298","6.298","6.226","16.71M","-0.74%"
"07/10/2018","6.234","6.234","6.265","6.191","16.46M","-0.36%"
"07/11/2018","6.185","6.200","6.278","6.172","24.47M","-0.77%"
"07/12/2018","6.204","6.213","6.213","6.172","13.36M","0.30%"
"07/13/2018","6.196","6.258","6.271","6.165","18.38M","-0.12%"
"07/16/2018","6.182","6.180","6.217","6.144","24.42M","-0.24%"
"07/17/2018","6.193","6.174","6.200","6.113","43.41M","0.18%"
"07/18/2018","6.222","6.193","6.232","6.152","12.70M","0.48%"
"07/19/2018","6.191","6.235","6.235","6.169","15.97M","-0.51%"
"07/20/2018","6.209","6.198","6.258","6.161","29.28M","0.30%"
"07/23/2018","6.219","6.196","6.241","6.180","18.76M","0.15%"
"07/24/2018","6.159","6.217","6.217","6.128","37.52M","-0.95%"
"07/25/2018","6.076","6.122","6.141","6.009","32.78M","-1.36%"
"07/26/2018","6.109","6.081","6.109","6.050","17.86M","0.55%"
"07/27/2018","6.154","6.094","6.172","6.094","14.25M","0.73%"
"07/30/2018","6.139","6.148","6.200","6.109","8.05M","-0.24%"
"07/31/2018","6.169","6.141","6.200","6.122","15.26M","0.48%"
"08/01/2018","6.107","6.159","6.187","6.061","15.68M","-0.99%"
"08/02/2018","6.087","6.093","6.133","6.067","25.64M","-0.33%"
"08/03/2018","6.091","6.100","6.106","6.061","14.50M","0.06%"
"08/06/2018","6.078","6.100","6.122","6.059","12.25M","-0.21%"
"08/07/2018","6.085","6.081","6.115","6.081","7.35M","0.12%"
"08/08/2018","6.096","6.085","6.120","6.041","14.09M","0.18%"
"08/09/2018","6.076","6.113","6.113","6.057","8.44M","-0.33%"
"08/10/2018","6.050","6.033","6.070","6.024","19.52M","-0.43%"
"08/13/2018","6.041","6.029","6.065","6.000","21.35M","-0.15%"
"08/14/2018","6.067","6.065","6.104","6.055","13.48M","0.43%"
"08/15/2018","6.009","6.081","6.081","5.974","27.37M","-0.95%"
"08/16/2018","6.029","6.024","6.046","5.989","14.22M","0.34%"
"08/17/2018","6.029","6.046","6.067","6.002","14.44M","0.00%"
"08/20/2018","6.026","6.042","6.054","6.005","7.55M","-0.06%"
"08/21/2018","6.029","6.020","6.065","6.013","9.92M","0.06%"
"08/22/2018","6.018","6.026","6.041","5.959","22.44M","-0.18%"
"08/23/2018","5.998","6.016","6.041","5.990","10.86M","-0.34%"
"08/24/2018","6.028","5.992","6.041","5.983","10.05M","0.49%"
"08/27/2018","6.026","6.061","6.061","6.005","6.08M","-0.03%"
"08/28/2018","6.015","6.029","6.048","5.990","13.52M","-0.18%"
"08/29/2018","6.039","6.029","6.055","6.007","8.08M","0.40%"
"08/30/2018","6.007","6.026","6.050","5.983","10.90M","-0.52%"
"08/31/2018","5.957","5.992","5.994","5.939","25.63M","-0.83%"
"09/03/2018","5.940","5.935","5.972","5.918","7.09M","-0.28%"
"09/04/2018","5.933","5.978","5.978","5.898","27.85M","-0.12%"
"09/05/2018","5.883","5.922","5.933","5.872","15.15M","-0.84%"
"09/06/2018","5.844","5.866","5.868","5.816","17.96M","-0.66%"
"09/07/2018","5.799","5.835","5.872","5.757","26.63M","-0.76%"
"09/10/2018","5.851","5.844","5.881","5.760","14.69M","0.90%"
"09/11/2018","5.864","5.844","5.864","5.785","10.68M","0.22%"
"09/12/2018","5.809","5.850","5.850","5.773","19.29M","-0.95%"
"09/13/2018","5.794","5.809","5.853","5.786","10.95M","-0.26%"
"09/14/2018","5.798","5.796","5.831","5.777","12.11M","0.06%"
"09/17/2018","5.868","5.783","5.892","5.783","11.78M","1.22%"
"09/18/2018","5.903","5.898","5.933","5.859","13.45M","0.60%"
"09/19/2018","5.894","5.890","5.903","5.844","19.91M","-0.16%"
"09/20/2018","5.968","5.890","5.979","5.872","17.07M","1.26%"
"09/21/2018","6.009","5.983","6.041","5.972","45.16M","0.68%"
"09/24/2018","5.911","6.005","6.020","5.890","14.79M","-1.64%"
"09/25/2018","5.859","5.907","5.922","5.851","21.02M","-0.88%"
"09/26/2018","5.937","5.868","5.937","5.857","18.45M","1.33%"
"09/27/2018","5.955","5.905","5.987","5.870","10.13M","0.31%"
"09/28/2018","5.879","5.914","5.931","5.850","16.71M","-1.28%"
"10/01/2018","5.898","5.898","5.944","5.879","15.09M","0.32%"
"10/02/2018","5.916","5.877","5.926","5.844","18.48M","0.31%"
"10/03/2018","5.959","5.911","6.007","5.905","9.94M","0.72%"
"10/04/2018","5.907","5.931","5.937","5.879","9.37M","-0.87%"
"10/05/2018","5.888","5.890","5.900","5.859","8.55M","-0.31%"
"10/08/2018","5.909","5.870","5.933","5.866","11.29M","0.35%"
"10/09/2018","5.922","5.911","5.937","5.848","12.49M","0.22%"
"10/10/2018","5.900","5.933","5.944","5.866","20.00M","-0.38%"
"10/11/2018","5.764","5.848","5.896","5.764","33.97M","-2.30%"
"10/12/2018","5.566","5.799","5.799","5.562","30.01M","-3.44%"
"10/15/2018","5.612","5.566","5.614","5.508","12.93M","0.83%"
"10/16/2018","5.760","5.658","5.792","5.658","16.93M","2.64%"
"10/17/2018","5.729","5.773","5.786","5.694","10.16M","-0.55%"
"10/18/2018","5.729","5.731","5.798","5.709","13.96M","0.00%"
"10/19/2018","5.824","5.733","5.837","5.718","26.26M","1.65%"
"10/22/2018","5.799","5.872","5.887","5.781","11.93M","-0.41%"
"10/23/2018","5.846","5.759","5.900","5.744","19.64M","0.80%"
"10/24/2018","5.859","5.926","5.953","5.850","19.01M","0.22%"
"10/25/2018","5.905","5.848","5.926","5.805","20.20M","0.79%"
"10/26/2018","5.848","5.872","5.901","5.779","33.64M","-0.97%"
"10/29/2018","5.846","5.848","5.887","5.825","18.27M","-0.03%"
"10/30/2018","5.853","5.846","5.901","5.825","9.40M","0.13%"
"10/31/2018","5.803","5.879","5.909","5.770","17.66M","-0.86%"
"11/01/2018","5.861","5.801","5.885","5.781","11.21M","0.99%"
"11/02/2018","5.837","5.896","5.896","5.816","18.18M","-0.41%"
"11/05/2018","5.872","5.837","5.887","5.833","16.68M","0.60%"
"11/06/2018","5.913","5.862","5.937","5.812","13.83M","0.70%"
"11/07/2018","6.003","5.955","6.037","5.953","15.45M","1.54%"
"11/08/2018","6.052","6.011","6.076","5.996","11.37M","0.80%"
"11/09/2018","6.094","6.035","6.113","6.024","12.72M","0.71%"
"11/12/2018","6.100","6.104","6.117","6.063","9.76M","0.09%"
"11/13/2018","6.131","6.098","6.148","6.089","10.91M","0.52%"
"11/14/2018","6.215","6.126","6.260","6.111","18.79M","1.36%"
