"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2018","7.9930","7.9660","8.0230","7.9480","23.67M","-0.34%"
"03/01/2018","7.9470","7.9430","7.9920","7.8690","13.77M","-0.58%"
"03/02/2018","7.8320","7.9140","7.9510","7.7840","15.55M","-1.45%"
"03/05/2018","7.9290","7.8030","7.9510","7.7830","10.46M","1.24%"
"03/06/2018","7.9500","8.0000","8.0560","7.9350","11.21M","0.26%"
"03/07/2018","7.9020","7.8990","7.9710","7.8750","11.19M","-0.60%"
"03/08/2018","8.0650","7.9400","8.0670","7.8810","14.47M","2.06%"
"03/09/2018","8.1700","8.0400","8.1840","8.0400","13.35M","1.30%"
"03/12/2018","8.1850","8.2000","8.2200","8.1520","7.28M","0.18%"
"03/13/2018","8.0400","8.1690","8.2100","8.0180","16.24M","-1.77%"
"03/14/2018","8.0670","8.0170","8.1190","8.0010","11.11M","0.34%"
"03/15/2018","8.0540","8.0940","8.1170","8.0140","12.73M","-0.16%"
"03/16/2018","8.2000","8.0190","8.2090","8.0110","32.63M","1.81%"
"03/19/2018","8.1200","8.1850","8.1850","8.0900","10.95M","-0.98%"
"03/20/2018","7.9930","8.0660","8.1110","7.9400","18.18M","-1.56%"
"03/21/2018","7.9300","8.0000","8.0000","7.8840","11.77M","-0.79%"
"03/22/2018","7.8330","7.8840","7.9290","7.7500","17.08M","-1.22%"
"03/23/2018","7.7870","7.7810","7.8550","7.7320","15.25M","-0.59%"
"03/26/2018","7.7660","7.8160","7.8480","7.7220","10.56M","-0.27%"
"03/27/2018","7.8930","7.9400","7.9400","7.8380","14.16M","1.64%"
"03/28/2018","7.9920","7.8500","7.9920","7.7790","13.68M","1.25%"
"03/29/2018","8.0280","8.0000","8.0720","7.9980","11.01M","0.45%"
"04/03/2018","7.9930","7.9690","8.0370","7.9350","9.93M","-0.44%"
"04/04/2018","7.9380","8.0070","8.0180","7.8410","13.04M","-0.69%"
"04/05/2018","8.1510","8.0960","8.1770","8.0170","15.38M","2.68%"
"04/06/2018","8.1400","8.1420","8.2110","8.1010","11.34M","-0.13%"
"04/09/2018","8.1720","8.1970","8.2430","8.1540","9.45M","0.39%"
"04/10/2018","8.1960","8.2100","8.2370","8.1520","7.80M","0.29%"
"04/11/2018","8.1690","8.2120","8.2490","8.1600","8.21M","-0.33%"
"04/12/2018","8.1900","8.1650","8.1970","8.1120","9.56M","0.26%"
